Image,PartID,ProblemType,Prob,Message
2s_C1.png,2,C1,a,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_C2.png,2,C2,b,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_C3.png,2,C3,c,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_C4.png,1,C4,d,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_C5.png,3,C5,e,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_C6.png,1,C6,f,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_C7.png,4,C7,g,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
5s_C8.png,5,C8,h,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_C9.png,3,C9,i,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_C10.png,1,C10,j,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_C11.png,4,C11,k,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
5s_C12.png,5,C12,l,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_D1.png,1,D1,m,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_D2.png,2,D2,n,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_D3.png,1,D3,o,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_D4.png,2,D4,p,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_D5.png,1,D5,q,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
5s_D6.png,5,D6,r,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_D7.png,3,D7,s,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_D8.png,4,D8,t,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_D9.png,1,D9,u,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_D10.png,2,D10,v,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_D11.png,4,D11,w,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
