Image,PartID,ProblemType,Prob,Message
5s_C1.png,5,C1,a,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_C2.png,3,C2,b,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
5s_C3.png,5,C3,c,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_C4.png,2,C4,d,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
5s_C5.png,5,C5,e,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_C6.png,3,C6,f,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_C7.png,1,C7,g,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_C8.png,1,C8,h,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_C9.png,4,C9,i,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_C10.png,4,C10,j,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_C11.png,2,C11,k,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_C12.png,1,C12,l,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_D1.png,4,D1,m,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_D2.png,1,D2,n,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_D3.png,2,D3,o,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_D4.png,3,D4,p,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_D5.png,2,D5,q,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_D6.png,1,D6,r,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_D7.png,1,D7,s,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
5s_D8.png,5,D8,t,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
6s_D9.png,6,D9,u,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_D10.png,4,D10,v,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
1s_D11.png,1,D11,w,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_D12.png,3,D12,x,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_E1.png,2,E1,y,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_E2.png,2,E2,z,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
