Image,PartID,ProblemType,Prob,Message
8s_C1.png,8,C1,a,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
8s_C2.png,8,C2,b,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_C3.png,4,C3,c,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_C4.png,4,C4,d,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_C5.png,2,C5,e,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
8s_C6.png,8,C6,f,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
8s_C7.png,8,C7,g,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
8s_C8.png,8,C8,h,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
7s_C9.png,7,C9,i,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
5s_C10.png,5,C10,j,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
7s_C11.png,7,C11,k,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_C12.png,3,C12,l,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
7s_D1.png,7,D1,m,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_D2.png,3,D2,n,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
2s_D3.png,2,D3,o,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
8s_D4.png,8,D4,p,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
7s_D5.png,7,D5,q,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_D6.png,4,D6,r,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
5s_D7.png,5,D7,s,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_D8.png,3,D8,t,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
3s_D9.png,3,D9,u,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
6s_D10.png,6,D10,v,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
7s_D11.png,7,D11,w,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
8s_D12.png,8,D12,x,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
6s_E1.png,6,E1,y,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
5s_E2.png,5,E2,z,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_E3.png,4,E3,AB,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_E4.png,4,E4,BC,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
7s_E5.png,7,E5,CD,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
7s_E6.png,7,E6,DE,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
8s_E7.png,8,E7,EF,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
6s_E8.png,6,E8,FG,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_E9.png,4,E9,GH,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
4s_E10.png,4,E10,HI,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
8s_E11.png,8,E11,IJ,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
7s_E12.png,7,E12,JK,Please make your description as short and simple as possible and ensure it could not be confused with any of the other unique images. 
